Status,Time,Pitch,Yaw,Roll,Xmin,Ymin,Xmax,Ymax
Pose,19:20:22,-7.46,-9.83,-7.54,0.4880,0.5352,0.7773,0.9326
Pose,19:20:22,-4.86,-8.90,-7.70,0.4897,0.5356,0.7778,0.9331
Pose,19:20:22,-4.75,-10.30,-7.54,0.4883,0.5347,0.7773,0.9331
Pose,19:20:23,-10.28,-9.02,-6.31,0.4890,0.5322,0.7764,0.9326
Pose,19:20:23,-4.98,-11.44,-8.45,0.4878,0.5332,0.7769,0.9316
Pose,19:20:23,-4.62,-10.05,-8.59,0.4893,0.5347,0.7764,0.9331
Pose,19:20:23,-0.57,-11.05,-8.77,0.4868,0.5332,0.7769,0.9336
Pose,19:20:23,-8.88,-10.86,-8.75,0.4880,0.5327,0.7764,0.9341
Pose,19:20:23,-2.31,-10.62,-7.11,0.4885,0.5332,0.7764,0.9336
Pose,19:20:23,0.80,-10.53,-8.60,0.4883,0.5332,0.7744,0.9326
Pose,19:20:23,-0.55,-10.23,-9.59,0.4873,0.5332,0.7764,0.9355
Pose,19:20:23,-0.57,-10.67,-10.00,0.4873,0.5342,0.7764,0.9346
Pose,19:20:23,-1.41,-10.98,-8.51,0.4871,0.5342,0.7773,0.9346
Pose,19:20:23,-1.94,-12.16,-9.23,0.4880,0.5347,0.7773,0.9331
Pose,19:20:23,-1.11,-11.59,-11.50,0.4883,0.5312,0.7773,0.9355
Pose,19:20:23,-5.97,-8.36,-8.90,0.4888,0.5352,0.7788,0.9355
Pose,19:20:23,-2.94,-12.11,-10.68,0.4863,0.5322,0.7773,0.9355
Pose,19:20:23,-3.03,-9.52,-9.41,0.4893,0.5308,0.7783,0.9370
Pose,19:20:23,-2.59,-11.20,-10.44,0.4883,0.5298,0.7783,0.9351
Pose,19:20:23,-0.36,-9.11,-10.19,0.4893,0.5312,0.7773,0.9385
Pose,19:20:23,-4.61,-11.38,-10.87,0.4893,0.5303,0.7764,0.9355
Pose,19:20:23,1.92,-11.40,-12.05,0.4883,0.5293,0.7764,0.9355
Pose,19:20:23,-7.49,-7.71,-12.09,0.4905,0.5303,0.7773,0.9365
Pose,19:20:23,-2.62,-10.48,-12.08,0.4895,0.5303,0.7783,0.9355
Pose,19:20:23,-11.16,-7.46,-12.36,0.4907,0.5288,0.7778,0.9351
Pose,19:20:23,-5.97,-9.33,-11.73,0.4902,0.5317,0.7773,0.9370
Pose,19:20:23,-6.18,-10.72,-11.36,0.4893,0.5273,0.7764,0.9355
Pose,19:20:23,-13.76,-8.44,-11.22,0.4919,0.5249,0.7754,0.9341
